"PointID","x","y","z"
12938, 1.981326101135187e+01, 3.853598271541523e+00, 1.732386466222162e+00
12939, 1.968493016766759e+01, 3.850013945443682e+00, 1.715462175724148e+00
12940, 1.955627056489641e+01, 3.846601555044895e+00, 1.698949303257870e+00
12941, 1.942862777031328e+01, 3.843585025722621e+00, 1.683449985075359e+00
12942, 1.930282135013574e+01, 3.841074958038883e+00, 1.669268391601783e+00
12943, 1.917870807049735e+01, 3.839019827121860e+00, 1.656278069224825e+00
12944, 1.905591113009862e+01, 3.837487742053396e+00, 1.644604180414607e+00
12945, 1.893343381557792e+01, 3.836668173281373e+00, 1.634597186952153e+00
12946, 1.881243644399639e+01, 3.836703222113670e+00, 1.626641147150219e+00
12947, 1.869221706507360e+01, 3.837542068728122e+00, 1.620568447423850e+00
12948, 1.857052566201495e+01, 3.839174037011246e+00, 1.616203600487502e+00
12949, 1.844833503788223e+01, 3.841656022946307e+00, 1.613735279925683e+00
12950, 1.832485835488177e+01, 3.844992588672091e+00, 1.613123798600124e+00
12951, 1.819996010722220e+01, 3.849067285248832e+00, 1.614108432619495e+00
12952, 1.807361519796936e+01, 3.853839792853717e+00, 1.616605062625627e+00
12953, 1.794587766132320e+01, 3.859351788348065e+00, 1.620716857777755e+00
12954, 1.781752845807371e+01, 3.865583516453918e+00, 1.626458879177424e+00
12955, 1.768925985594026e+01, 3.872327593143781e+00, 1.633426086273938e+00
12956, 1.756106310557599e+01, 3.879412495922255e+00, 1.641246906726257e+00
12957, 1.743295797499919e+01, 3.886851406248450e+00, 1.649959925016328e+00
12958, 1.730497982083169e+01, 3.894722558596490e+00, 1.659751239001888e+00
12959, 1.717716268565318e+01, 3.903077104494239e+00, 1.670750046575784e+00
12960, 1.704952093257620e+01, 3.911878120160527e+00, 1.682890808160362e+00
12961, 1.692208594003643e+01, 3.921119755034657e+00, 1.696182273761996e+00
12962, 1.679497452524676e+01, 3.930868746132660e+00, 1.710806329249789e+00
12963, 1.666842373208564e+01, 3.941127982244011e+00, 1.726813167724412e+00
12964, 1.654280442949995e+01, 3.951862152169220e+00, 1.744177786863270e+00
12965, 1.641903669117011e+01, 3.963011366833446e+00, 1.762853383762159e+00
12966, 1.629863352141887e+01, 3.974486982737484e+00, 1.782760596740013e+00
12967, 1.618177765137945e+01, 3.986307064497312e+00, 1.803995446324988e+00
12968, 1.606943023021991e+01, 3.998431883838336e+00, 1.826569063554808e+00
12969, 1.596365831833704e+01, 4.010791020890582e+00, 1.850482824989736e+00
12970, 1.586736389580969e+01, 4.023131569568635e+00, 1.875332779496072e+00
12971, 1.578461983471663e+01, 4.034938030549092e+00, 1.900090035929978e+00
12972, 1.571551885227405e+01, 4.046317668066662e+00, 1.925010561573040e+00
12973, 1.565748821983461e+01, 4.057905302638983e+00, 1.951596228822587e+00
